iter	Passed	Remaining
0	6	1801
1	11	1718
2	18	1851
3	25	1882
4	33	1952
5	38	1885
6	44	1865
7	49	1822
8	54	1775
9	63	1831
10	68	1790
11	74	1782
12	81	1801
13	87	1777
14	93	1774
15	98	1754
16	104	1734
17	110	1731
18	115	1712
19	123	1723
20	129	1721
21	135	1706
22	142	1710
23	147	1692
24	152	1678
25	160	1689
26	167	1689
27	173	1688
28	179	1681
29	185	1670
30	195	1694
31	201	1688
32	208	1683
33	215	1687
34	221	1677
35	232	1707
36	238	1695
37	247	1707
38	251	1685
39	257	1675
40	265	1674
41	270	1663
42	276	1654
43	282	1644
44	288	1633
45	294	1627
46	300	1619
47	308	1620
48	317	1627
49	329	1647
50	334	1632
51	339	1618
52	346	1615
53	352	1605
54	359	1601
55	365	1592
56	370	1578
57	377	1575
58	382	1563
59	389	1559
60	395	1550
61	400	1539
62	410	1544
63	416	1536
64	425	1538
65	431	1530
66	437	1522
67	444	1515
68	449	1505
69	457	1501
70	462	1493
71	468	1484
72	474	1476
73	479	1465
74	485	1457
75	491	1447
76	497	1439
77	504	1434
78	509	1425
79	515	1417
80	522	1412
81	527	1403
82	533	1395
83	539	1387
84	544	1377
85	551	1373
86	557	1364
87	563	1356
88	569	1349
89	574	1340
90	580	1333
91	585	1324
92	591	1315
93	598	1311
94	603	1303
95	608	1294
96	616	1290
97	621	1281
98	627	1274
99	633	1267
100	638	1258
101	647	1257
102	653	1249
103	660	1244
104	666	1237
105	671	1229
106	677	1221
107	680	1210
108	684	1199
109	691	1193
110	695	1184
111	700	1175
112	711	1176
113	716	1169
114	720	1159
115	728	1154
116	732	1145
117	736	1135
118	742	1129
119	747	1121
120	750	1110
121	755	1101
122	759	1093
123	763	1083
124	768	1075
125	776	1072
126	781	1064
127	786	1056
128	791	1049
129	795	1040
130	799	1031
131	805	1024
132	809	1016
133	812	1007
134	816	998
135	822	991
136	826	983
137	830	974
138	836	969
139	841	962
140	850	958
141	855	951
142	859	943
143	863	935
144	868	928
145	872	920
146	876	911
147	879	903
148	885	897
149	889	889
150	893	881
151	897	873
152	902	867
153	906	859
154	910	851
155	915	844
156	918	837
157	924	831
158	932	826
159	937	819
160	941	813
161	948	807
162	953	801
163	957	793
164	961	786
165	965	779
166	969	772
167	977	768
168	985	764
169	998	763
170	1012	764
171	1029	765
172	1036	760
173	1045	757
174	1051	751
175	1055	743
176	1064	739
177	1069	733
178	1076	727
179	1082	721
180	1086	714
181	1094	709
182	1104	706
183	1110	700
184	1114	692
185	1122	687
186	1126	680
187	1133	675
188	1142	670
189	1154	668
190	1161	662
191	1164	655
192	1172	649
193	1177	643
194	1182	636
195	1187	630
196	1190	622
197	1194	615
198	1198	608
199	1202	601
200	1206	594
201	1210	587
202	1213	580
203	1217	573
204	1221	566
205	1226	559
206	1229	552
207	1233	545
208	1237	538
209	1241	532
210	1245	525
211	1249	518
212	1253	511
213	1257	505
214	1260	498
215	1264	491
216	1268	485
217	1272	478
218	1276	472
219	1281	466
220	1285	459
221	1289	453
222	1293	446
223	1297	440
224	1301	433
225	1305	427
226	1309	420
227	1313	414
228	1317	408
229	1321	402
230	1324	395
231	1328	389
232	1332	383
233	1336	377
234	1340	370
235	1344	364
236	1348	358
237	1352	352
238	1356	346
239	1360	340
240	1364	334
241	1368	327
242	1372	321
243	1377	316
244	1381	310
245	1384	304
246	1388	297
247	1392	292
248	1396	286
249	1400	280
250	1404	274
251	1408	268
252	1412	262
253	1416	256
254	1420	250
255	1424	244
256	1428	238
257	1432	233
258	1435	227
259	1439	221
260	1443	215
261	1447	209
262	1451	204
263	1455	198
264	1459	192
265	1463	187
266	1466	181
267	1472	175
268	1475	170
269	1479	164
270	1483	158
271	1491	153
272	1497	148
273	1502	142
274	1506	136
275	1510	131
276	1514	125
277	1518	120
278	1522	114
279	1526	109
280	1530	103
281	1534	97
282	1538	92
283	1541	86
284	1545	81
285	1550	75
286	1554	70
287	1557	64
288	1561	59
289	1568	54
290	1573	48
291	1577	43
292	1581	37
293	1586	32
294	1589	26
295	1593	21
296	1597	16
297	1601	10
298	1605	5
299	1609	0
